,date,URL,content,id
24,2022-12-10 23:03:37+00:00,https://twitter.com/RadioEriwaan/status/1601714279098757120,russ Su25 Notlandung #ukraine https://t.co/kUi7uCgVLX,1601714279098757120
25,2022-12-10 23:03:29+00:00,https://twitter.com/Hike150Hike/status/1601714247615934465,"Russian forces blitz Bakhmut in Ukraine leaving sheer devastation behind
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/yHe8QjEeN2",1601714247615934465
26,2022-12-10 23:03:28+00:00,https://twitter.com/agathaslugg/status/1601714241790439424,https://t.co/9mq5AQaWV5 - using #marxism to understand #ukraine @profdavidharvey and @profwolff,1601714241790439424
27,2022-12-10 23:03:19+00:00,https://twitter.com/Worship_Banned/status/1601714206889213952,"Over 100miles from where #Ukraine is killing Donbass. #Kyiv 400 miles from #Donetsk Ukraine. No battles. No Russians.
#AmericaSucks long as Sodomy is legal Congress is great.

https://t.co/TzHXq6w4gm",1601714206889213952
28,2022-12-10 23:03:09+00:00,https://twitter.com/fk_689/status/1601714164220956672,"Brutal Attack! Ukraine War video footage, drone attack, destroy Russian tanks &amp; artillery in Luhansk
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/qapvNPzbGb",1601714164220956672
29,2022-12-10 23:03:07+00:00,https://twitter.com/finplan/status/1601714155446304774,"As Russia’s invasion of #Ukraine hammers global oil supplies, the world’s richest investors are betting on energy. #investing #BigOil https://t.co/cUZBf6Fdhy",1601714155446304774
30,2022-12-10 23:03:00+00:00,https://twitter.com/yusr35144430/status/1601714124731592705,"Violent fighting in Luhansk leaves villagers' crops threatened by fires
#russia #Germany #Ukraine #Bakhmut #amireca https://t.co/0qDlhKKPOd",1601714124731592705
31,2022-12-10 23:02:58+00:00,https://twitter.com/ascensi/status/1601714114837221376,"Cette fois, apparemment, les ukrainiens n'ont tué que des chiens de russes
#Ukraine https://t.co/oetnBJZtby",1601714114837221376
32,2022-12-10 23:02:18+00:00,https://twitter.com/Bbb85251762/status/1601713950470844416,"Ukrainian Drones destroy Russian troops positions in Bakhmut.
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/au1gJ9Sxh3",1601713950470844416
33,2022-12-10 23:02:02+00:00,https://twitter.com/FuckPutinBot/status/1601713881650532352,"Vaia foder, Putin!
(Galician)

#PutinsWar #IStandWithUkraine #RussiaWarCrimes #Ukraine",1601713881650532352
